YGL122C    11 16 20 
YHR055C    16 32 
YER175C    01 
YOL138C    # 
YPR161C    01 10 11 14 34 40 
YGR129W    10 11 
YGL133W    10 11 
YMR256C    02 14 20 
YER067W    # 
YPR165W    01 16 30 40 42 43 
YPR098C    # 
YMR193W    12 42 
YNR035C    16 20 40 
YMR092C    16 32 40 42 43 
YER087C-B  14 20 
YOR232W    14 16 20 32 
YOR317W    01 14 20 
YOR280C    01 
YGR097W    11 32 
YPL249C-A  12 16 
YKL025C    10 11 42 
YKL010C    14 16 
YLL027W    20 34 
YJL076W    10 11 16 42 
YML025C    12 42 
YGL060W    # 
YEL009C    01 11 16 
YNL316C    01 
YBR252W    01 
YKL168C    01 14 
YDL202W    12 42 
YHR209W    # 
YPR008W    11 
YMR086W    # 
YBR050C    01 11 14 40 
YMR197C    14 20 
YBL049W    # 
YER054C    01 02 14 18 
YDL113C    14 16 20 
YNL201C    01 
YHR051W    02 20 
YGL006W    20 34 
YPR124W    20 34 
YJL023C    12 
YDL165W    01 10 11 34 
YIL143C    10 11 
YOR094W    14 20 
YDR167W    10 11 14 42 
YLR052W    10 42 
YMR225C    12 42 
YPL118W    12 42 
YPR187W    11 16 
YOR230W    10 11 18 
YOL102C    01 11 
YBR169C    14 32 
YBR122C    12 42 
YBR279W    11 
YDR004W    10 16 32 34 42 
YBR210W    43 
YLR443W    42 
YNL322C    01 42 
YPL147W    01 16 20 
YHR155W    40 
YLR270W    01 
YGR082W    14 20 
YMR251W-A  32 
YDL222C    42 43 
YNL178W    12 32 
YPL090C    12 
YDR483W    01 14 42 
YHR116W    02 
YDR313C    01 14 16 
YKL007W    16 20 32 34 40 42 43 
YDR443C    01 11 
YNL292W    01 10 11 
YOR324C    30 32 
YMR080C    01 10 11 12 16 
YGL092W    11 14 16 20 42 
YNL218W    01 10 16 42 
YPL214C    01 
YOR228C    # 
YDR345C    20 
YGR121C    20 
YOR274W    11 
YLR016C    11 20 
YLR127C    10 14 16 
YJL222W    14 16 20 
YDR457W    10 14 16 20 42 
YLR273C    01 02 18 
YDR181C    10 14 42 
YLR097C    14 16 
YCL056C    # 
YJL083W    16 18 30 42 
YNR016C    01 14 20 42 
YLR414C    # 
YIL035C    01 10 11 14 32 34 40 42 43 
YBL032W    10 11 16 20 32 42 
YML049C    11 14 16 20 
YGR055W    01 20 
YMR315W    # 
YDR383C    # 
YIL089W    # 
YDR035W    01 
YPR052C    10 11 40 43 
YMR292W    14 20 
YDR243C    11 16 
YLR070C    01 16 
YPL228W    01 11 
YDR353W    01 16 32 
YLR095C    10 16 
YOR115C    20 
YML116W    20 32 
YNL096C    12 
YKL214C    16 20 
YDL125C    01 16 
YKL011C    10 
YPL189C-A  # 
YLR078C    20 
YDR072C    01 42 
YIR003W    # 
YLR390W    42 
YDR258C    01 14 16 20 32 
YBR234C    40 42 43 
YPL239W    10 
YLR411W    20 34 
YBR045C    10 11 16 43 
YGL219C    42 
YMR039C    11 18 
YKL195W    14 20 
YPL188W    01 32 34 
YPR127W    # 
YDR217C    10 11 16 32 
YGL147C    12 
YLR226W    10 11 18 
YJR126C    14 20 34 
YDL145C    20 
YOR322C    01 
YHR073W    01 
YMR008C    01 
YKL096W-A  34 42 
YNL081C    12 
YER107C    14 16 20 42 
YKL024C    01 16 
YDR049W    # 
YMR075W    # 
YBR262C    # 
YDR118W    10 14 16 
YGL047W    01 14 
YEL030W    14 20 32 42 
YMR291W    01 14 
YML011C    # 
YPL048W    12 
YML063W    12 
YLR178C    10 14 16 18 34 
YIL159W    16 32 40 42 43 
YOR184W    01 
YER179W    10 16 
YKL219W    # 
YDR317W    10 
YJL038C    # 
YLR406C    12 
YHR028C    14 
YDR299W    20 40 
YBR298C    20 
YCL044C    14 42 
YFR022W    32 
YAL003W    12 
YPL049C    16 34 43 
YHR017W    # 
YKR101W    10 11 16 34 
YHR198C    # 
YOR076C    01 
YNL219C    01 14 42 
YIL034C    16 20 32 34 40 42 43 
YLR148W    14 16 20 42 
YOL070C    # 
YIL043C    02 16 20 
YDL020C    10 11 14 40 42 43 
YDR174W    11 16 
YGR231C    10 14 40 42 
YGR034W    12 16 
YDL048C    11 20 
YIL018W    12 
YML092C    14 
YNL056W    # 
YGL210W    20 42 
YDL025C    01 14 32 
YDL243C    01 02 
YGL197W    43 
YLR293C    11 20 42 
YHR092C    20 
YJR118C    # 
YDR379C-A  # 
YLR189C    01 
YML032C    10 32 34 42 
YBR256C    01 
YOR081C    01 
YLR442C    10 11 16 34 40 42 
YMR257C    12 
YGR279C    01 41 
YDL219W    01 11 12 
YGL123W    12 
YBR290W    14 20 34 
YKL122C    14 16 20 
YOL115W    01 10 11 16 
YPL176C    14 18 20 
YEL001C    # 
YPL061W    01 02 
YLR119W    14 20 
YPR062W    01 
YDR223W    11 
YIL064W    # 
YDR402C    01 32 42 43 
YMR146C    12 
YGR241C    14 16 20 
YPR057W    11 14 16 
YER057C    32 
YPR131C    14 
YAL033W    10 11 
YLR333C    12 
YNR060W    20 34 
YGL087C    10 14 16 
YDR195W    11 16 
YDR272W    01 
YBR126C    01 02 32 
YJL081C    10 11 14 42 
YKL142W    12 
YNR044W    16 34 41 
YGR076C    12 42 
YCR020C-A  01 14 38 
YDR429C    12 
YNR031C    01 14 18 30 32 34 42 
YOR004W    11 
YMR233W    # 
YDR328C    01 10 14 16 
YNR030W    01 14 42 
YGL131C    # 
YBL059C-A  # 
YHR021C    12 
YGL107C    # 
YOR173W    # 
YPR017C    16 18 20 
YLR054C    42 43 
YDR283C    01 12 14 
YHR193C    01 11 12 16 32 
YOR005C    10 43 
YMR143W    12 
YNL265C    12 
YJR127C    02 11 16 40 
YOR297C    14 20 
YDR225W    10 11 16 
YPR020W    02 16 20 
YIL101C    11 32 
YHR136C    18 32 34 
YDL103C    01 42 
YHL003C    01 14 40 
YDR482C    # 
YGL135W    12 
YBL058W    02 10 12 14 43 
YLL039C    12 14 16 32 43 
YMR186W    14 16 32 
YLL023C    # 
YHR083W    14 16 20 42 
YFR005C    11 
YOL083W    # 
YBR216C    14 32 
YEL020W-A  14 16 20 32 42 
YNL020C    01 10 14 20 42 43 
YGL125W    01 12 16 
YKR038C    14 43 
YEL038W    01 
YLR022C    11 
YLR354C    01 02 
YMR026C    16 42 
YPR162C    10 11 34 
YDR284C    01 10 30 40 
YFL013C    10 42 
YKL051W    01 42 
YKL165C    01 14 20 43 
YJL143W    14 20 
YDL091C    # 
YJL154C    14 20 42 
YGR057C    20 
YKL194C    12 
YDR074W    01 02 32 
YMR029C    10 34 
