YGL122C    11.04 16.03 20.01 
YHR055C    16.17 32.05 32.07 
YER175C    01.05 
YOL138C    # 
YPR161C    01.04 10.03 14.07 34.11 40.01 
YGR129W    10.03 11.04 
YGL133W    10.01 11.02 
YMR256C    02.11 02.13 14.10 20.01 
YER067W    # 
YPR165W    01.05 16.19 30.01 40.01 42.01 42.04 42.29 43.01 
YPR098C    # 
YMR193W    12.01 42.16 
YNR035C    16.07 20.09 40.01 
YMR092C    16.01 32.01 40.01 42.04 43.01 
YER087C-B  14.04 20.01 20.03 20.09 
YOR232W    14.01 14.04 16.01 20.01 20.09 32.01 
YOR317W    01.06 14.07 20.01 
YOR280C    01.01 01.03 
YGR097W    11.02 32.01 
YPL249C-A  12.01 16.03 
YKL025C    10.01 11.04 42.01 
YKL010C    14.07 14.10 14.13 16.01 16.19 
YLL027W    20.01 20.03 34.01 
YJL076W    10.01 10.03 11.02 16.03 42.10 
YML025C    12.01 42.16 
YGL060W    # 
YEL009C    01.01 11.02 16.03 
YNL316C    01.01 
YBR252W    01.03 01.04 
YKL168C    01.04 14.07 
YDL202W    12.01 42.16 
YHR209W    # 
YPR008W    11.02 
YMR086W    # 
YBR050C    01.04 01.05 11.02 14.07 40.01 
YMR197C    14.04 20.09 
YBL049W    # 
YER054C    01.04 01.05 02.19 14.07 18.02 
YDL113C    14.04 14.07 16.09 20.09 
YNL201C    01.05 
YHR051W    02.11 02.13 20.01 
YGL006W    20.01 20.03 20.09 34.01 
YPR124W    20.01 20.09 34.01 
YJL023C    # 
YDL165W    01.03 10.03 11.02 11.04 34.11 
YIL143C    10.01 11.02 
YOR094W    14.10 20.01 20.09 
YDR167W    10.01 10.03 11.02 14.07 42.10 
YLR052W    10.01 42.10 
YMR225C    12.01 42.16 
YPL118W    12.01 12.04 42.16 
YPR187W    11.02 16.03 
YOR230W    10.03 11.02 18.02 
YOL102C    01.04 11.04 
YBR169C    14.01 32.01 
YBR122C    12.01 42.16 
YBR279W    11.02 
YDR004W    10.01 10.03 16.01 32.01 34.11 42.10 
YBR210W    43.01 
YLR443W    42.01 
YNL322C    01.05 42.01 
YPL147W    01.04 16.19 20.01 20.03 20.09 
YHR155W    40.10 
YLR270W    01.03 
YGR082W    14.04 20.01 20.03 20.09 
YMR251W-A  32.01 
YDL222C    42.01 43.01 
YNL178W    12.01 32.01 
YPL090C    12.01 
YDR483W    01.05 14.07 42.01 
YHR116W    02.13 
YDR313C    01.06 14.07 14.10 14.13 16.01 16.19 
YKL007W    16.01 20.09 32.01 34.11 40.01 42.01 42.04 43.01 
YDR443C    01.05 11.02 
YNL292W    01.03 10.03 11.06 
YOR324C    30.01 32.01 
YMR080C    01.03 01.04 10.01 11.04 12.07 16.19 
YGL092W    11.04 14.04 16.07 20.01 20.09 42.10 
YNL218W    01.04 10.01 16.19 42.16 
YPL214C    01.04 01.07 
YOR228C    # 
YDR345C    20.01 20.09 
YGR121C    20.01 20.09 
YOR274W    11.06 
YLR016C    11.04 20.01 20.09 
YLR127C    10.03 14.07 14.10 14.13 16.01 16.19 
YJL222W    14.04 16.01 20.09 
YDR457W    10.03 14.07 14.10 14.13 16.01 16.19 20.09 42.10 
YLR273C    01.04 01.05 02.19 18.02 
YDR181C    10.01 14.07 42.10 
YLR097C    14.07 14.10 14.13 16.01 16.19 
YCL056C    # 
YJL083W    16.01 18.01 18.02 30.01 42.01 
YNR016C    01.06 14.04 20.09 42.10 
YLR414C    # 
YIL035C    01.04 10.03 11.02 14.07 32.01 34.01 34.07 40.01 42.04 43.01 
YBL032W    10.01 11.04 16.03 20.01 32.01 42.10 
YML049C    11.04 14.10 16.03 20.09 
YGR055W    01.01 20.01 20.09 
YMR315W    # 
YDR383C    # 
YIL089W    # 
YDR035W    01.01 01.05 01.20 
YPR052C    10.01 11.02 40.01 43.01 
YMR292W    14.04 20.09 
YDR243C    11.04 16.19 
YLR070C    01.05 01.20 16.21 
YPL228W    01.04 11.04 
YDR353W    01.02 01.03 16.21 32.01 32.07 
YLR095C    10.01 16.01 
YOR115C    20.09 
YML116W    20.01 20.03 20.09 32.07 
YNL096C    12.01 
YKL214C    16.03 20.01 
YDL125C    01.03 16.19 
YKL011C    10.01 
YPL189C-A  # 
YLR078C    20.09 
YDR072C    01.04 01.06 42.01 
YIR003W    # 
YLR390W    42.01 
YDR258C    01.04 14.01 14.04 16.01 16.19 20.01 20.09 32.01 
YBR234C    40.01 42.04 43.01 
YPL239W    10.03 
YLR411W    20.01 20.09 34.01 
YBR045C    10.03 11.02 16.01 43.01 
YGL219C    42.16 
YMR039C    11.02 18.02 
YKL195W    14.04 20.01 
YPL188W    01.04 01.07 32.01 34.01 
YPR127W    # 
YDR217C    10.01 10.03 11.02 16.01 32.01 
YGL147C    12.01 
YLR226W    10.03 11.02 18.02 
YJR126C    14.04 20.09 34.01 
YDL145C    20.09 
YOR322C    01.06 
YHR073W    01.06 
YMR008C    01.06 
YKL096W-A  34.01 42.01 
YNL081C    12.01 
YER107C    14.04 16.07 20.01 20.09 42.10 
YKL024C    01.03 01.04 16.19 
YDR049W    # 
YMR075W    # 
YBR262C    # 
YDR118W    10.03 14.07 14.10 14.13 16.01 16.19 
YGL047W    01.05 14.07 
YEL030W    14.01 14.04 20.09 32.01 42.01 
YMR291W    01.04 14.07 
YML011C    # 
YPL048W    12.04 12.07 
YML063W    12.01 
YLR178C    10.03 14.13 16.09 18.02 34.11 
YIL159W    16.01 32.01 40.01 42.04 43.01 
YOR184W    01.01 01.03 01.07 
YER179W    10.01 10.03 16.03 
YKL219W    # 
YDR317W    10.01 
YJL038C    # 
YLR406C    12.01 
YHR028C    14.07 14.13 
YDR299W    20.09 40.01 
YBR298C    20.01 20.03 20.09 
YCL044C    14.13 42.16 
YFR022W    32.07 
YAL003W    12.04 
YPL049C    16.01 34.11 43.01 
YHR017W    # 
YKR101W    10.01 11.02 16.03 34.11 
YHR198C    # 
YOR076C    01.03 
YNL219C    01.05 01.06 14.07 42.01 
YIL034C    16.01 20.09 32.01 34.11 40.01 42.01 42.04 43.01 
YLR148W    14.04 16.01 20.09 42.25 
YOL070C    # 
YIL043C    02.11 02.13 16.21 20.01 
YDL020C    10.03 11.02 14.13 40.01 42.04 43.01 
YDR174W    11.02 16.03 
YGR231C    10.01 10.03 14.13 40.20 42.16 
YGR034W    12.01 16.03 
YDL048C    11.04 20.01 
YIL018W    12.01 
YML092C    14.07 14.13 
YNL056W    # 
YGL210W    20.09 42.09 
YDL025C    01.04 14.07 32.01 
YDL243C    01.01 01.05 02.16 
YGL197W    43.01 
YLR293C    11.04 20.01 20.09 42.10 
YHR092C    20.01 20.09 
YJR118C    # 
YDR379C-A  # 
YLR189C    01.06 
YML032C    10.01 32.01 34.11 42.10 
YBR256C    01.07 
YOR081C    01.06 
YLR442C    10.01 11.02 16.01 34.11 40.20 42.10 
YMR257C    12.07 
YGR279C    01.05 41.01 
YDL219W    01.01 11.06 12.04 
YGL123W    12.01 12.07 
YBR290W    14.04 20.01 20.09 34.01 
YKL122C    14.04 16.01 20.01 
YOL115W    01.03 10.01 10.03 11.04 16.03 
YPL176C    14.04 14.13 18.01 20.01 
YEL001C    # 
YPL061W    01.05 02.16 
YLR119W    14.04 20.01 20.09 
YPR062W    01.02 01.03 
YDR223W    11.02 
YIL064W    # 
YDR402C    32.07 42.01 43.01 
YMR146C    12.04 
YGR241C    14.10 16.01 20.09 
YPR057W    11.04 14.10 16.03 
YER057C    32.01 
YPR131C    14.07 
YAL033W    10.01 11.04 
YLR333C    12.01 
YNR060W    20.01 34.01 
YGL087C    10.01 14.07 14.10 14.13 16.01 
YDR195W    11.02 11.04 16.03 
YDR272W    01.01 01.05 
YBR126C    01.05 02.19 32.01 
YJL081C    10.01 11.02 14.07 42.10 
YKL142W    12.01 
YNR044W    16.01 34.11 41.01 
YGR076C    12.01 42.16 
YCR020C-A  01.01 01.20 14.07 
YDR429C    12.04 
YNR031C    01.04 14.07 18.02 30.01 30.05 32.01 34.11 42.01 42.04 
YOR004W    11.04 
YMR233W    # 
YDR328C    01.01 01.05 10.03 14.07 14.10 14.13 16.01 16.19 
YNR030W    01.05 14.07 42.01 
YGL131C    # 
YBL059C-A  # 
YHR021C    12.01 
YGL107C    # 
YOR173W    # 
YPR017C    16.17 18.02 20.09 
YLR054C    42.01 43.01 
YDR283C    01.01 01.04 12.07 14.07 
YHR193C    01.05 11.02 12.04 16.01 32.01 
YOR005C    10.01 10.03 43.01 
YMR143W    12.01 
YNL265C    12.04 
YJR127C    02.13 11.02 16.03 40.01 
YOR297C    14.04 20.01 20.09 
YDR225W    10.01 11.02 16.03 
YPR020W    02.11 02.13 02.45 16.07 20.01 
YIL101C    11.02 32.01 
YHR136C    18.02 32.01 34.11 
YDL103C    01.03 01.04 01.05 42.01 
YHL003C    01.06 14.04 40.10 40.20 
YDR482C    # 
YGL135W    12.01 
YBL058W    02.19 10.03 12.07 14.13 43.01 
YLL039C    14.07 14.10 14.13 16.01 32.01 43.01 
YMR186W    14.01 16.01 32.01 
YLL023C    # 
YHR083W    14.04 14.10 16.01 20.01 20.09 42.16 
YFR005C    11.04 
YOL083W    # 
YBR216C    14.07 32.01 
YEL020W-A  14.04 16.01 20.01 20.09 32.01 42.16 
YNL020C    01.04 10.03 14.07 14.10 20.09 42.04 43.01 
YGL125W    01.01 01.02 01.05 01.07 12.01 16.21 
YKR038C    14.13 43.01 
YEL038W    01.01 
YLR022C    11.04 
YLR354C    01.05 02.07 
YMR026C    16.01 42.19 
YPR162C    10.01 11.02 34.11 
YDR284C    01.04 01.06 10.03 40.01 
YFL013C    10.01 42.10 
YKL051W    01.06 42.04 42.25 
YKL165C    01.06 14.07 20.01 43.01 
YJL143W    14.04 20.01 20.03 20.09 
YDL091C    # 
YJL154C    14.04 20.09 42.07 
YGR057C    20.01 20.09 
YKL194C    12.10 
YDR074W    01.04 01.05 02.19 32.01 
YMR029C    10.03 34.11 
YMR148W    # 
YGL142C    01.06 14.07 42.01 
YDR494W    12.01 12.04 
YKL151C    # 
YLR249W    12.04 42.01 
YPL230W    # 
YGR019W    01.01 01.02 01.05 
YBR263W    01.01 01.03 01.05 01.06 01.07 
YOR249C    10.01 10.03 14.07 14.10 14.13 16.01 16.19 
YLR018C    20.09 
YBL056W    01.04 14.07 18.02 30.01 34.11 
YDL175C    20.01 
YJR135W-A  14.01 14.04 20.01 20.09 
YHR192W    # 
YNL139C    10.01 11.02 12.07 16.19 20.01 
YHL024W    10.01 10.03 16.03 43.01 
YLR109W    32.01 32.07 34.01 34.11 
YOR063W    12.01 
YBR205W    01.05 14.07 42.01 
YPL076W    01.06 14.07 
YMR294W    10.03 20.09 42.04 
YML110C    01.07 01.20 02.13 
YLR292C    14.04 20.01 20.03 20.09 
YLR216C    11.02 14.01 16.01 32.01 
YJL093C    20.01 20.03 20.09 34.01 
YDR046C    20.01 20.09 
YJL092W    10.01 
YNR069C    14.13 
YCR057C    10.03 11.04 16.03 43.01 
YLR445W    # 
YDR356W    10.03 42.04 
Q0050      02.13 10.01 11.04 16.19 
YOR369C    12.01 
YJR083C    40.01 42.04 43.01 
YJR145C    11.04 12.01 
YGR239C    14.04 16.01 18.02 20.09 42.19 
YGR246C    11.02 
YJR138W    42.10 
YHR059W    # 
YOR006C    # 
YOL032W    # 
YNL156C    01.06 16.01 18.01 18.02 
YDR079C-A  10.01 11.02 
YNL286W    11.04 16.03 
YJL151C    # 
YFR032C-A  12.01 
YNL093W    14.04 20.09 
YOR332W    14.10 20.01 20.03 20.09 34.01 
YKR022C    11.04 
YMR318C    01.05 02.01 02.16 
YDR425W    14.04 20.01 
YGL134W    01.05 02.19 18.02 
YJR094W-A  12.01 
YKR074W    # 
YDR293C    10.03 16.03 32.01 40.01 42.01 43.01 
YNL099C    01.04 14.07 18.01 18.02 30.01 32.01 
YKL006W    12.01 16.03 
YCL057W    14.13 16.17 
YDR097C    01.04 10.01 16.03 16.19 
YLR185W    12.01 
YOR194C    11.02 
YNL100W    # 
YGR060W    01.06 
YHR041C    11.02 
YNL288W    11.02 
YFL003C    10.01 10.03 16.03 
YPR140W    01.06 42.16 
YNL318C    20.01 20.09 
YOR125C    01.05 01.07 01.20 
YDR276C    20.01 
YNL224C    # 
YLL014W    # 
YLR129W    10.03 11.04 16.03 
YGL066W    14.07 42.10 
YGR143W    01.05 02.19 42.01 
YOL040C    12.01 14.04 20.01 20.09 
YML030W    # 
YOR261C    14.13 
YMR316W    43.01 
YCR027C    20.01 30.01 
YER125W    10.01 14.07 14.10 14.13 16.01 16.19 32.01 43.01 
YMR263W    10.01 11.02 14.07 34.11 40.01 43.01 
YGR221C    40.01 42.04 42.29 43.01 
YJR132W    01.03 14.04 20.01 20.09 
YDR192C    14.04 16.07 20.01 20.09 42.10 
YKL127W    01.05 02.01 02.07 02.19 
YJL131C    # 
YER021W    14.13 
YDR495C    14.04 14.07 14.10 20.09 
YDR382W    12.01 12.04 
YOL129W    14.04 20.09 
YKR009C    01.06 02.25 42.01 
YNL280C    01.06 16.21 
YLR259C    14.01 14.04 16.03 20.01 20.09 32.01 
YKR049C    32.01 
YKL073W    14.01 14.04 16.01 20.01 32.01 
YDR505C    # 
YDR496C    11.02 41.01 
YGL202W    01.01 01.20 
YOL077W-A  02.11 02.13 02.45 20.01 20.09 
YCL040W    01.04 01.05 02.01 20.01 20.09 
YFR007W    # 
YKL137W    # 
YGR072W    01.03 12.07 
YER022W    11.02 
YIL118W    20.09 30.01 40.01 42.04 43.01 
YKL006C-A  20.09 
YJR008W    # 
YNL215W    # 
YDR172W    01.03 10.03 12.04 
YBR042C    01.06 
YER056C-A  12.01 
YPL064C    # 
YNL085W    01.03 10.01 
YDR256C    32.01 32.07 
YGL051W    16.01 20.03 20.09 42.08 42.09 
YBL038W    12.01 12.04 42.16 
YNL287W    20.09 
YPL166W    # 
YJL005W    01.03 10.03 30.01 34.11 43.01 
YOR281C    11.02 18.02 34.11 
YAR050W    16.13 34.07 
YMR114C    # 
