YGL122C    11.04.03 16.03.03 20.01.21 
YHR055C    16.17.09 32.05.01 
YER175C    01.05.13 
YOL138C    # 
YPR161C    10.03.01 14.07.03 34.11.03 
YGR129W    11.04.03 
YGL133W    10.01.09 11.02.03 
YMR256C    02.13.03 20.01.15 
YER067W    # 
YPR165W    01.05.25 16.19.05 30.01.05 40.01.03 42.04.03 43.01.03 
YPR098C    # 
YMR193W    12.01.01 
YNR035C    20.09.14 
YMR092C    32.01.03 42.04.03 43.01.03 
YER087C-B  20.01.10 20.09.05 
YOR232W    20.01.10 20.09.04 32.01.07 
YOR317W    01.06.10 14.07.01 20.01.13 
YOR280C    01.03.01 01.03.04 
YGR097W    11.02.03 32.01.01 
YPL249C-A  12.01.01 16.03.03 
YKL025C    10.01.05 11.04.03 
YKL010C    14.07.05 14.13.01 16.19.03 
YLL027W    20.01.01 34.01.01 
YJL076W    10.01.09 10.03.01 11.02.01 16.03.03 
YML025C    12.01.01 
YGL060W    # 
YEL009C    01.01.13 11.02.03 16.03.01 
YNL316C    01.01.09 
YBR252W    01.03.04 
YKL168C    14.07.03 
YDL202W    12.01.01 
YHR209W    # 
YPR008W    11.02.03 
YMR086W    # 
YBR050C    01.05.25 11.02.03 14.07.03 
YMR197C    20.09.07 
YBL049W    # 
YER054C    01.04.04 01.05.25 14.07.03 18.02.01 
YDL113C    14.07.11 20.09.13 
YNL201C    01.05.25 
YHR051W    02.13.03 20.01.15 
YGL006W    20.01.01 20.03.22 20.09.13 34.01.01 
YPR124W    20.01.01 20.09.18 34.01.01 
YJL023C    # 
YDL165W    01.03.16 10.03.01 11.02.03 34.11.03 
YIL143C    10.01.02 10.01.05 11.02.03 
YOR094W    20.01.10 20.09.07 
YDR167W    10.01.09 10.03.01 11.02.03 14.07.04 42.10.03 
YLR052W    10.01.09 42.10.03 
YMR225C    12.01.01 
YPL118W    12.01.01 12.04.01 
YPR187W    11.02.01 11.02.02 11.02.03 16.03.01 
YOR230W    10.03.02 11.02.03 18.02.09 
YOL102C    11.04.02 
YBR169C    # 
YBR122C    12.01.01 
YBR279W    11.02.03 
YDR004W    10.01.05 10.03.02 32.01.09 34.11.03 42.10.03 
YBR210W    43.01.03 
YLR443W    # 
YNL322C    # 
YPL147W    16.19.03 20.01.13 20.03.25 20.09.03 
YHR155W    40.10.02 
YLR270W    01.03.16 
YGR082W    20.01.10 20.09.04 
YMR251W-A  # 
YDL222C    43.01.03 
YNL178W    12.01.01 32.01.09 
YPL090C    12.01.01 
YDR483W    14.07.02 
YHR116W    02.13.03 
YDR313C    14.07.05 14.13.01 16.19.03 
YKL007W    20.09.18 32.01.03 34.11.03 42.04.03 43.01.03 
YDR443C    01.05.25 11.02.03 
YNL292W    01.03.04 01.03.10 10.03.01 11.06.02 
YOR324C    30.01.09 32.01.01 32.01.03 32.01.04 
YMR080C    01.03.16 16.19.03 
YGL092W    11.04.02 20.01.10 20.01.21 20.09.01 42.10.05 
YNL218W    10.01.02 10.01.11 16.19.03 
YPL214C    01.07.01 
YOR228C    # 
YDR345C    20.01.03 20.09.18 
YGR121C    20.01.01 20.09.18 
YOR274W    11.06.02 
YLR016C    11.04.03 20.01.21 20.09.01 
YLR127C    10.03.01 14.07.05 14.13.01 16.19.03 
YJL222W    20.09.07 20.09.13 
YDR457W    10.03.01 10.03.04 14.07.05 14.13.01 16.19.03 20.09.01 
YLR273C    01.04.04 01.05.25 18.02.01 
YDR181C    10.01.09 14.07.04 
YLR097C    14.07.05 14.13.01 16.19.03 
YCL056C    # 
YJL083W    18.01.07 18.02.01 
YNR016C    01.06.05 20.09.01 42.10.05 
YLR414C    # 
YIL035C    10.03.01 11.02.01 11.02.02 14.07.03 32.01.09 34.07.01 43.01.03 
YBL032W    10.01.03 16.03.03 20.01.21 32.01.09 42.10.03 
YML049C    11.04.03 16.03.03 20.09.07 
YGR055W    20.01.07 20.09.18 
YMR315W    # 
YDR383C    # 
YIL089W    # 
YDR035W    01.01.09 01.05.11 01.20.15 
YPR052C    10.01.09 11.02.02 11.02.03 43.01.03 
YMR292W    20.09.07 
YDR243C    11.04.03 16.19.03 
YLR070C    01.05.02 01.20.01 16.21.07 
YPL228W    11.04.03 
YDR353W    01.03.07 16.21.07 32.01.01 32.07.07 
YLR095C    10.01.09 
YOR115C    20.09.07 
YML116W    20.01.27 20.03.25 20.09.16 
YNL096C    12.01.01 
YKL214C    16.03.03 20.01.21 
YDL125C    # 
YKL011C    10.01.05 
YPL189C-A  # 
YLR078C    20.09.07 
YDR072C    01.06.02 
YIR003W    # 
YLR390W    # 
YDR258C    16.19.03 20.01.10 20.09.04 32.01.07 
YBR234C    42.04.03 43.01.03 
YPL239W    10.03.01 
YLR411W    20.01.01 20.09.18 34.01.01 
YBR045C    10.03.02 11.02.03 43.01.03 
YGL219C    # 
YMR039C    11.02.03 18.02.09 
YKL195W    20.01.10 
YPL188W    01.07.01 32.01.01 
YPR127W    # 
YDR217C    10.01.05 10.03.01 11.02.03 32.01.09 
YGL147C    12.01.01 
YLR226W    10.03.01 11.02.03 18.02.01 
YJR126C    20.09.13 34.01.01 
YDL145C    20.09.07 
YOR322C    01.06.02 
YHR073W    01.06.06 
YMR008C    01.06.02 
YKL096W-A  34.01.01 
YNL081C    12.01.01 
YER107C    20.01.10 20.01.21 20.09.01 42.10.05 
YKL024C    01.03.04 16.19.03 
YDR049W    # 
YMR075W    # 
YBR262C    # 
YDR118W    10.03.01 14.07.05 14.13.01 16.19.03 
YGL047W    14.07.02 
YEL030W    20.09.04 
YMR291W    14.07.03 
YML011C    # 
YPL048W    12.04.02 
YML063W    12.01.01 
YLR178C    10.03.01 18.02.01 34.11.12 
YIL159W    32.01.03 42.04.03 43.01.03 
YOR184W    01.01.09 01.03.01 01.07.01 
YER179W    10.01.05 10.03.01 10.03.02 16.03.01 
YKL219W    # 
YDR317W    10.01.05 
YJL038C    # 
YLR406C    12.01.01 
YHR028C    14.07.11 14.13.04 
YDR299W    20.09.07 
YBR298C    20.01.03 20.03.02 20.09.18 
YCL044C    # 
YFR022W    # 
YAL003W    12.04.02 
YPL049C    34.11.03 43.01.03 
YHR017W    # 
YKR101W    10.01.09 11.02.03 16.03.01 34.11.03 
YHR198C    # 
YOR076C    01.03.16 
YNL219C    14.07.02 
YIL034C    20.09.18 32.01.03 34.11.03 42.04.03 43.01.03 
YLR148W    20.09.07 20.09.13 20.09.16 
YOL070C    # 
YIL043C    16.21.05 20.01.15 
YDL020C    10.03.01 11.02.03 14.13.01 43.01.03 
YDR174W    11.02.01 11.02.03 16.03.01 
YGR231C    10.01.03 10.03.01 
YGR034W    12.01.01 16.03.03 
YDL048C    11.04.02 20.01.07 
YIL018W    12.01.01 
YML092C    14.07.11 14.13.01 
YNL056W    # 
YGL210W    20.09.07 20.09.13 20.09.16 
YDL025C    14.07.03 
YDL243C    01.01.09 
YGL197W    43.01.03 
YLR293C    11.04.01 20.01.21 20.09.01 
YHR092C    20.01.03 20.09.18 
YJR118C    # 
YDR379C-A  # 
YLR189C    # 
YML032C    10.01.05 32.01.09 34.11.03 42.10.03 
YBR256C    01.07.01 
YOR081C    # 
YLR442C    10.01.05 10.01.09 11.02.03 34.11.03 42.10.03 
YMR257C    # 
YGR279C    01.05.02 01.05.03 41.01.01 
YDL219W    11.06.02 
YGL123W    12.01.01 
YBR290W    20.01.01 20.09.13 34.01.01 
YKL122C    20.01.10 
YOL115W    01.03.16 10.01.02 10.01.03 10.03.01 10.03.04 11.04.01 11.04.02 16.03.01 
YPL176C    14.13.04 18.01.07 20.01.01 
YEL001C    # 
YPL061W    01.05.06 
YLR119W    20.01.21 20.09.01 20.09.13 
YPR062W    01.03.04 
YDR223W    11.02.03 
YIL064W    # 
YDR402C    32.07.01 43.01.03 
YMR146C    12.04.01 
YGR241C    20.09.18 
YPR057W    11.04.03 16.03.03 
YER057C    # 
YPR131C    14.07.04 
YAL033W    10.01.03 11.04.01 11.04.02 
YLR333C    12.01.01 
YNR060W    20.01.01 34.01.01 
YGL087C    10.01.05 14.07.05 14.13.01 
YDR195W    11.02.03 11.04.03 16.03.03 
YDR272W    # 
YBR126C    01.05.02 01.05.25 
YJL081C    10.01.09 11.02.03 14.07.04 42.10.03 
YKL142W    12.01.01 
YNR044W    34.11.03 41.01.01 
YGR076C    12.01.01 
YCR020C-A  01.01.03 01.20.17 14.07.04 
YDR429C    12.04.01 
YNR031C    14.07.03 18.02.01 30.01.05 34.11.03 42.04.03 
YOR004W    11.04.01 
YMR233W    # 
YDR328C    01.01.13 01.05.25 10.03.01 10.03.04 14.07.05 14.13.01 16.19.03 
YNR030W    14.07.02 
YGL131C    # 
YBL059C-A  # 
YHR021C    12.01.01 
YGL107C    # 
YOR173W    # 
YPR017C    16.17.09 18.02.03 20.09.07 20.09.16 
YLR054C    43.01.03 
YDR283C    14.07.03 
YHR193C    01.05.25 11.02.03 12.04.03 32.01.07 
YOR005C    10.01.03 10.01.05 10.03.02 43.01.03 
YMR143W    12.01.01 
YNL265C    12.04.01 
YJR127C    11.02.03 16.03.03 40.01.05 
YOR297C    20.01.10 20.09.04 
YDR225W    10.01.09 11.02.03 16.03.01 
YPR020W    02.45.15 20.01.15 
YIL101C    11.02.03 
YHR136C    18.02.01 32.01.05 32.01.06 34.11.09 
YDL103C    01.03.04 01.05.09 
YHL003C    01.06.02 
YDR482C    # 
YGL135W    12.01.01 
YBL058W    10.03.01 10.03.02 14.13.01 43.01.03 
YLL039C    14.07.05 14.13.01 43.01.03 
YMR186W    32.01.07 
YLL023C    # 
YHR083W    20.01.10 20.09.04 
YFR005C    11.04.03 
YOL083W    # 
YBR216C    32.01.01 
YEL020W-A  20.01.10 20.09.04 32.01.07 
YNL020C    10.03.03 14.07.03 20.09.18 42.04.03 43.01.03 
YGL125W    01.01.06 01.05.13 01.07.01 12.01.01 16.21.07 
YKR038C    43.01.03 
YEL038W    # 
YLR022C    11.04.01 
YLR354C    01.05.02 
YMR026C    # 
YPR162C    10.01.03 10.01.09 11.02.03 34.11.03 
YDR284C    01.06.10 10.03.03 
YFL013C    10.01.09 42.10.03 
YKL051W    01.06.02 42.04.03 
YKL165C    01.06.02 14.07.01 20.01.17 43.01.03 
YJL143W    20.01.10 20.09.04 
YDL091C    # 
YJL154C    20.09.07 20.09.13 
YGR057C    20.01.10 20.09.07 20.09.13 
YKL194C    # 
YDR074W    # 
YMR029C    10.03.01 34.11.03 
YMR148W    # 
YGL142C    01.06.02 14.07.01 
YDR494W    12.01.01 12.04.01 
YKL151C    # 
YLR249W    12.04.02 
YPL230W    # 
YGR019W    01.02.07 
YBR263W    01.01.06 01.01.09 01.03.01 01.05.05 01.05.13 
YOR249C    10.01.09 10.03.01 14.07.05 14.13.01 16.19.03 
YLR018C    20.09.01 
YBL056W    14.07.03 18.02.01 30.01.05 34.11.03 
YDL175C    20.01.21 
YJR135W-A  20.01.10 20.09.04 
YHR192W    # 
YNL139C    10.01.05 11.02.03 20.01.21 
YHL024W    10.01.03 10.01.05 10.03.02 16.03.03 43.01.03 
YLR109W    32.01.01 32.07.07 34.01.01 34.11.03 
YOR063W    12.01.01 
YBR205W    14.07.02 
YPL076W    01.06.02 14.07.01 
YMR294W    10.03.01 20.09.14 
YML110C    01.07.01 01.20.15 02.13.03 
YLR292C    20.01.10 20.09.05 
YLR216C    11.02.03 32.01.07 
YJL093C    20.01.01 20.03.01 20.09.16 34.01.01 
YDR046C    20.01.07 20.09.18 
YJL092W    10.01.02 10.01.05 
YNR069C    # 
YCR057C    10.03.03 11.04.01 16.03.03 43.01.03 
YLR445W    # 
YDR356W    10.03.01 42.04.05 
Q0050      10.01.05 10.01.09 11.04.03 
YOR369C    12.01.01 
YJR083C    42.04.03 43.01.03 
YJR145C    11.04.01 12.01.01 
YGR239C    18.02.01 20.09.03 
YGR246C    11.02.01 11.02.02 11.02.03 
YJR138W    # 
YHR059W    # 
YOR006C    # 
YOL032W    # 
YNL156C    01.06.06 18.01.07 18.02.01 
YDR079C-A  10.01.05 11.02.03 
YNL286W    11.04.03 16.03.03 
YJL151C    # 
YFR032C-A  12.01.01 
YNL093W    20.09.13 20.09.18 
YOR332W    20.01.01 20.01.15 20.03.22 20.09.13 34.01.01 
YKR022C    11.04.03 
YMR318C    # 
YDR425W    20.01.09 20.01.10 
YGL134W    01.05.25 18.02.01 
YJR094W-A  12.01.01 
YKR074W    # 
YDR293C    10.03.01 16.03.03 43.01.03 
YNL099C    14.07.03 18.01.01 18.02.01 30.01.05 32.01.01 
YKL006W    12.01.01 16.03.03 
YCL057W    14.13.01 
YDR097C    10.01.05 16.03.01 16.19.03 
YLR185W    12.01.01 
YOR194C    11.02.03 
YNL100W    # 
YGR060W    01.06.06 
YHR041C    11.02.03 
YNL288W    11.02.03 
YFL003C    10.01.05 10.03.02 16.03.01 
YPR140W    01.06.02 
YNL318C    20.01.03 20.09.18 
YOR125C    01.05.25 01.07.07 
YDR276C    20.01.01 
YNL224C    # 
YLL014W    # 
YLR129W    10.03.01 10.03.02 11.04.01 16.03.03 
YGL066W    14.07.04 42.10.03 
YGR143W    01.05.02 01.05.03 
YOL040C    12.01.01 20.01.10 20.09.01 
YML030W    # 
YOR261C    14.13.01 
YMR316W    43.01.03 
YCR027C    20.01.07 
YER125W    10.01.09 14.07.05 14.13.01 16.19.03 43.01.03 
YMR263W    10.01.09 11.02.03 14.07.04 34.11.03 43.01.03 
YGR221C    43.01.03 
YJR132W    01.03.16 20.01.10 20.09.01 
YDR192C    20.01.10 20.01.21 20.09.01 42.10.05 
YKL127W    01.05.02 01.05.09 
YJL131C    # 
YER021W    14.13.01 
YDR495C    20.09.13 
YDR382W    12.01.01 12.04.02 
YOL129W    20.09.13 
YKR009C    01.06.05 
YNL280C    01.06.06 16.21.07 
YLR259C    16.03.01 20.01.10 20.09.04 
YKR049C    32.01.01 
YKL073W    20.01.10 32.01.07 
YDR505C    # 
YDR496C    11.02.03 41.01.01 
YGL202W    01.01.09 01.01.13 01.20.17 
YOL077W-A  02.45.15 20.01.01 20.01.15 20.09.04 
YCL040W    20.01.03 20.09.18 
YFR007W    # 
YKL137W    # 
YGR072W    01.03.16 
YER022W    11.02.03 
YIL118W    20.09.16 30.01.05 42.04.03 43.01.03 
YKL006C-A  20.09.07 
YJR008W    # 
YNL215W    # 
YDR172W    01.03.16 10.03.01 12.04.03 
YBR042C    01.06.02 
YER056C-A  12.01.01 
YPL064C    # 
YNL085W    01.03.16 10.01.05 
YDR256C    32.01.01 32.07.07 
YGL051W    20.09.07 
YBL038W    12.01.01 12.04.02 
YNL287W    20.09.07 
YPL166W    # 
YJL005W    01.03.10 10.03.01 10.03.02 30.01.05 30.01.09 34.11.12 43.01.03 
YOR281C    11.02.03 18.02.01 34.11.03 
YAR050W    16.13.01 34.07.01 
YMR114C    # 
YLR044C    02.16.01 
YGR251W    11.04.01 
YJL099W    01.05.03 20.09.07 
YLR262C    20.01.10 20.09.07 
YFR010W    14.07.05 14.13.01 
YOR260W    12.04.01 
YKR028W    10.03.01 14.07.03 30.01.05 43.01.03 
YOR374W    01.05.06 02.16.01 
YJR046W    10.01.03 
YJR122W    11.02.03 
YML105C    20.01.10 
YKL035W    01.05.02 14.07.02 
